occurrence	line	citation_key	claim_context	verification_source	status
25	2029	palmisano2018jfact	The expanded comparison includes three additional OWL reasoner families. JFact is a Java port of FaCT++'s tableau architecture \cite{tsarkov2006factpp,palmisano2018jfact}.	https://repo1.maven.org/maven2/net/sourceforge/owlapi/jfact/5.0.3/; https://github.com/owlcs/jfact	corrected
26	2030	sirin2007pellet	Openllet continues the Pellet line of OWL~DL reasoners \cite{sirin2007pellet,galigator2019openllet}.	https://doi.org/10.1016/j.websem.2007.03.004	verified
26	2030	galigator2019openllet	Openllet continues the Pellet line of OWL~DL reasoners \cite{sirin2007pellet,galigator2019openllet}.	https://github.com/Galigator/openllet/releases/tag/2.6.5	verified
27	2032	armasromero2012more	MORe combines a tractable-profile reasoner with an expressive reasoner over the residual module \cite{armasromero2012more}; its modular routing makes it the closest baseline to KM's high-level motivation, although the procedures and publication boundary differ.	https://doi.org/10.1007/978-3-642-35176-1_1	verified
28	2036	balhoff2024whelk	For EL workloads, we also compare ELK with Whelk, a newer EL+RL reasoner based on ELK's algorithm \cite{balhoff2024whelk}.	https://doi.org/10.4230/TGDK.2.2.7; https://github.com/INCATools/whelk	verified
29	2043	kang2020r2o2	R2O2* learns ontology-runtime rankings over a portfolio of external reasoners and reports gains over each component reasoner \cite{kang2020r2o2}.	https://doi.org/10.1016/j.is.2019.07.002	verified
30	2057	chaabani2013alc	Chaabani, Mezghiche, and Strecker mechanised soundness, completeness, and termination of an $\mathcal{ALC}$ tableau procedure in the Isabelle/HOL higher-order-logic environment \cite{chaabani2013alc}.	https://doi.org/10.4204/EPTCS.122.5	verified
31	2060	hidalgo2014verified	used refinement in the Prototype Verification System (PVS) to obtain executable, verified $\mathcal{ALC}$ tableau reasoners \cite{hidalgo2014verified}.	https://doi.org/10.1007/s10817-013-9291-8	verified
32	2062	ileri2024vel	VEL instead formalises an $\mathcal{EL}^{++}$ completion procedure in Coq and extracts an executable OCaml reasoner \cite{ileri2024vel}.	https://ceur-ws.org/Vol-3828/paper22.pdf	verified
33	2066	baader2020certify	A complementary line leaves the high-performance reasoner outside the trusted base: Baader, Koopmann, and Tinelli translate ELK subsumption proofs into certificates checked against inference rules encoded in the Logical Framework with Side Conditions \cite{baader2020certify}.	https://ceur-ws.org/Vol-2663/paper-5.pdf	verified
34	2074	alkassar2014certifying	It does not claim verification of the OWL parser, operating system, Rust compiler, or Lean's implementation; Section~\ref{sec:certification-system} states the exact trusted boundary. More generally, certifying computation separates an untrusted producer from a checker whose correctness and witness relation can be verified \cite{alkassar2014certifying}.	https://doi.org/10.1007/s10817-013-9289-2	verified
35	2104	parsia2017ore	\paragraph{Evaluation.} ORE established common corpora, tasks, time limits, and harnesses for OWL reasoner comparison \cite{parsia2017ore}.	https://doi.org/10.1007/s10817-017-9406-8	verified
36	2118	cuencagrau2010incremental	formalise reuse across ontology versions and evaluate it for OWL classification \cite{cuencagrau2010incremental}.	https://doi.org/10.1007/s10817-009-9159-0	verified
37	2123	kalyanpur2007debugging	OWL justifications are commonly computed through black-box axiom deletion and hitting-set enumeration \cite{kalyanpur2007debugging,horridge2011justification}. Proof-oriented explanation systems such as Evonne additionally expose reasoning steps and support interactive inspection and repair \cite{mendez2023evonne}.	https://doi.org/10.1007/978-3-540-76298-0_20	verified
37	2123	horridge2011justification	OWL justifications are commonly computed through black-box axiom deletion and hitting-set enumeration \cite{kalyanpur2007debugging,horridge2011justification}. Proof-oriented explanation systems such as Evonne additionally expose reasoning steps and support interactive inspection and repair \cite{mendez2023evonne}.	https://doi.org/10.1007/978-3-540-88564-1_21	corrected
38	2126	mendez2023evonne	OWL justifications are commonly computed through black-box axiom deletion and hitting-set enumeration \cite{kalyanpur2007debugging,horridge2011justification}. Proof-oriented explanation systems such as Evonne additionally expose reasoning steps and support interactive inspection and repair \cite{mendez2023evonne}.	https://doi.org/10.1111/cgf.14730	verified
39	2135	yang2024sweagent	\paragraph{Agentic software engineering.} SWE-agent evaluates agents on bounded software-repair tasks \cite{yang2024sweagent}; OpenHands evaluates a broader platform across software engineering, web browsing, and general-assistance benchmarks \cite{wang2024openhands}.	https://doi.org/10.52202/079017-1601; https://proceedings.neurips.cc/paper_files/paper/2024/hash/5a7c947568c1b1328ccc5230172e1e7c-Abstract-Conference.html	verified
40	2137	wang2024openhands	\paragraph{Agentic software engineering.} SWE-agent evaluates agents on bounded software-repair tasks \cite{yang2024sweagent}; OpenHands evaluates a broader platform across software engineering, web browsing, and general-assistance benchmarks \cite{wang2024openhands}.	https://openreview.net/forum?id=OJd3ayDDoF; https://proceedings.iclr.cc/paper_files/paper/2025/hash/a4b6ad6b48850c0c331d1259fc66a69c-Abstract-Conference.html	verified
41	2147	song2025leancopilot	Lean Copilot supplies proof-step suggestion, goal completion, and premise selection inside Lean \cite{song2025leancopilot}.	https://proceedings.mlr.press/v288/song25a.html	verified
